,Date,Close,High,Low,Open,Volume,SMA_05,SMA_08,SMA_13,SMA_21,EMA_50,EMA_200,VolumeSMA_14,RSI,MACD,MACD_Signal,MACD_Hist,BB_Up,BB_Mid,BB_Low,Plus_DMI,Minus_DMI,ADX,SAR,SAR_MoreSensitive,SAR_LessSensitive,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ATR,NATR,TRANGE,APO,CCI,CMO,MFI,MOM,ROC,ROCP,ROCR,ROCR100,STOCH_K,STOCH_D,STOCHF_K,STOCHF_D,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,OBV,AD,CMF,VPT,BOP
BERG-B.ST,2024-11-07,294.5,300.5,294.5,299.5,17699.0,298.2,300.125,307.2692307692308,309.9047619047619,,,38597.92857142857,44.86205920598974,,,,329.3196093300315,310.25,291.1803906699685,16.066848591265288,26.500149223202733,,316.471630148608,306.352522532864,323.4369938068159,307.5,,,,296.0,8.875540917414149,3.013766016099881,6.0,,-94.65496609493397,-10.275881588020523,16.776376589223666,-32.5,-9.938837920489297,-0.09938837920489296,0.900611620795107,90.06116207951071,33.66167882296914,27.537634154450085,23.076923076923077,33.66167882296914,0.0,27.97031160347608,,,-92.59259259259258,-131831.0,-240514.04692565426,-0.27325390920496445,-2876.1798750052635,-0.8333333333333334
BERG-B.ST,2024-11-08,295.5,298.5,294.0,297.0,13695.0,296.6,298.875,306.2692307692308,309.54761904761904,,,38832.857142857145,45.6752610483138,,,,329.55696396774107,309.45,289.3430360322589,15.435887877952403,25.895806784220444,,313.4750345307751,303.5,321.52077417840695,305.75,,,,299.0,8.563002280455995,2.897801110137393,4.5,,-85.26329243353766,-8.649477903372418,16.696330451872477,-20.0,-6.339144215530901,-0.06339144215530904,0.936608557844691,93.6608557844691,32.94483294483294,31.697202056301265,33.333333333333336,32.94483294483294,27.398645850859648,23.21538972811727,,,-90.12345679012346,-118136.0,-245079.04692565426,-0.3260821572623899,-2829.6773283159596,-0.3333333333333333
BERG-B.ST,2024-11-11,299.5,302.0,294.5,294.5,36108.0,297.4,298.1875,304.2307692307692,308.9761904761905,,,40902.5,48.92044690628423,,,,328.87954634600817,308.6,288.3204536539919,17.492283777153165,24.190693016874697,,310.8380303870821,291.5,319.71952772770254,300.25,,,,298.0,8.48707354613771,2.833747427758835,7.5,,-57.751508434921796,-2.159106187431533,22.067646719330202,-17.0,-5.371248025276465,-0.053712480252764615,0.9462875197472354,94.62875197472354,41.02564102564102,35.877384264481044,66.66666666666667,41.02564102564102,100.0,42.46621528361988,,,-80.24691358024691,-82028.0,-233043.04692565426,-0.32394748738544366,-2340.9057547118987,0.6666666666666666
BERG-B.ST,2024-11-12,288.0,299.0,288.0,299.0,14387.0,295.2,296.75,301.2307692307692,307.6190476190476,,,38835.857142857145,41.2846693265691,,,,328.52959253275935,307.025,285.5204074672406,15.77688022961897,27.361279082436386,,308.51746674063224,302.0,318.0263560640404,298.0,,,,309.5,8.702282578556446,3.021625895332099,11.5,,-101.9615828412404,-17.430661346861797,14.878136814173196,-17.5,-5.728314238952537,-0.057283142389525366,0.9427168576104746,94.27168576104746,33.33333333333333,35.767935767935775,0.0,33.33333333333333,0.0,42.46621528361988,,,-100.0,-96415.0,-247430.04692565426,-0.3366084343872383,-2893.328125329595,-1.0
BERG-B.ST,2024-11-13,288.0,290.0,283.0,288.0,27376.0,293.1,294.8125,299.11538461538464,306.1190476190476,,,38983.57142857143,41.284669326569094,,,,328.4297162322809,305.7,282.9702837677191,14.82393451693472,30.023005399659443,,305.6450213969437,302.0,315.9245111395576,293.75,,,,304.0,8.580690965802415,2.9794065853480607,7.0,,-140.3223154086496,-17.4306613468618,9.852979984723769,-17.0,-5.573770491803276,-0.05573770491803279,0.9442622950819672,94.42622950819673,30.994152046783622,35.117708801919335,26.31578947368421,30.994152046783622,0.0,33.333333333333336,,,-89.01098901098901,-96415.0,-235697.47549708284,-0.29554511849811244,-2893.328125329595,0.0
BERG-B.ST,2024-11-14,287.5,291.5,286.0,286.0,9222.0,291.7,293.8125,296.88461538461536,304.8333333333333,,,32323.928571428572,40.96227421728888,,,,327.2205536265882,304.1,280.97944637341186,15.429241796093038,28.563173585673535,,302.02181797343275,300.48,313.29055024839295,293.25,307.5,,,311.5,8.360641611102242,2.908049256035562,5.5,-10.237179487179446,-123.44259152769814,-18.075451565422252,14.055115529573264,-12.0,-4.006677796327207,-0.04006677796327212,0.9599332220367279,95.99332220367279,16.66666666666666,26.998050682261212,23.684210526315788,16.66666666666666,0.0,0.0,,,-88.88888888888889,-105637.0,-239889.293678901,-0.3234959291987793,-2909.3385419962615,0.2727272727272727
BERG-B.ST,2024-11-15,280.0,285.5,279.0,285.0,11306.0,288.6,291.4375,294.9230769230769,302.95238095238096,,,31405.928571428572,36.37383794255327,,,,326.8213247506112,302.25,277.6786752493888,14.274092578343698,32.590280606004356,,298.9783270976835,299.08160000000004,310.8673062285215,291.25,305.5,,,319.0,8.370595781737796,2.989498493477784,8.5,-11.43589743589746,-181.4814814814809,-27.25232411489346,14.544687016071265,-23.5,-7.742998352553543,-0.07742998352553541,0.9225700164744646,92.25700164744646,18.1159420289855,21.92558691414527,4.3478260869565215,18.1159420289855,0.0,0.0,,,-97.5609756097561,-116943.0,-247716.5244481318,-0.33262016917214104,-3204.2776724310443,-0.7692307692307693
BERG-B.ST,2024-11-18,274.5,280.5,274.5,279.5,16952.0,283.6,288.4375,292.5769230769231,300.92857142857144,,,30720.85714285714,33.41758359656217,,,,327.29502043089866,300.375,273.45497956910134,13.505458150786865,34.87396835780625,23.22072621288165,295.3822282201005,296.67180800000006,307.9992486679546,289.0,303.25,,,305.5,8.201267511613668,2.9877112974913183,6.0,-12.096153846153868,-178.55072463768096,-33.16483280687566,14.952673161309255,-21.0,-7.106598984771573,-0.07106598984771574,0.9289340101522843,92.89340101522842,9.344012204424098,14.708873633358762,0.0,9.344012204424098,0.0,0.0,,,-100.00000000000001,-133895.0,-264668.5244481318,-0.3392492973241737,-3537.2633867167588,-0.8333333333333334
BERG-B.ST,2024-11-19,272.5,278.5,269.5,275.0,21463.0,280.5,285.6875,290.5,299.04761904761904,,,22929.85714285714,32.38678804057529,,,,327.79703791661336,298.575,269.3529620833866,12.424689336259803,36.529003990710514,25.079175157220764,291.2057825760804,293.12431872,304.64932380115914,285.75,300.75,,,311.0,8.258319832212692,3.0305760852156665,9.0,-12.987179487179446,-161.148098831188,-35.22642391884942,20.494685029672862,-26.5,-8.862876254180607,-0.08862876254180602,0.9113712374581939,91.1371237458194,5.99472990777338,11.151561380394334,13.636363636363637,5.99472990777338,0.0,0.0,,30.531276533909267,-92.20779220779221,-155358.0,-271822.8577814651,-0.34265454207041357,-3693.642257390711,-0.2777777777777778
BERG-B.ST,2024-11-20,272.0,277.0,271.5,272.5,7344.0,277.3,282.75,288.0769230769231,297.3095238095238,,,22005.428571428572,32.12004181165652,,,,324.4334926072792,295.875,267.3165073927208,11.803071612506407,34.70142700289669,26.804877748392794,286.86462606086434,288.399454976,301.13439142104323,285.75,300.75,,,320.0,8.061296987054643,2.9637121275936185,5.5,-13.11858974358978,-129.2350820985177,-35.75991637668696,21.962676203514715,-26.5,-8.877721943048577,-0.08877721943048576,0.9112227805695142,91.12227805695142,8.333333333333329,7.890691815176943,11.363636363636363,8.333333333333329,0.0,0.0,,26.298615871604948,-92.85714285714286,-162702.0,-277831.5850541924,-0.4099991469754201,-3707.1174867485092,-0.09090909090909091
